,time,price,time_converted
1,1625436001,14705.0,2021-07-04 18:00:01
2,1625436001,14704.25,2021-07-04 18:00:01
3,1625436001,14704.25,2021-07-04 18:00:01
4,1625436001,14704.5,2021-07-04 18:00:01
5,1625436001,14704.75,2021-07-04 18:00:01
6,1625436001,14705.0,2021-07-04 18:00:01
7,1625436001,14705.5,2021-07-04 18:00:01
8,1625436001,14705.5,2021-07-04 18:00:01
9,1625436001,14705.25,2021-07-04 18:00:01
10,1625436002,14705.5,2021-07-04 18:00:02
11,1625436002,14705.5,2021-07-04 18:00:02
12,1625436002,14705.5,2021-07-04 18:00:02
13,1625436002,14705.5,2021-07-04 18:00:02
14,1625436002,14705.5,2021-07-04 18:00:02
15,1625436002,14705.5,2021-07-04 18:00:02
16,1625436003,14705.5,2021-07-04 18:00:03
17,1625436003,14705.5,2021-07-04 18:00:03
18,1625436003,14705.5,2021-07-04 18:00:03
19,1625436003,14705.5,2021-07-04 18:00:03
20,1625436003,14705.25,2021-07-04 18:00:03
21,1625436004,14705.5,2021-07-04 18:00:04
22,1625436004,14705.0,2021-07-04 18:00:04
23,1625436004,14705.5,2021-07-04 18:00:04
24,1625436004,14705.0,2021-07-04 18:00:04
25,1625436005,14704.5,2021-07-04 18:00:05
26,1625436006,14704.25,2021-07-04 18:00:06
27,1625436006,14704.0,2021-07-04 18:00:06
28,1625436007,14703.5,2021-07-04 18:00:07
29,1625436007,14705.0,2021-07-04 18:00:07
30,1625436008,14704.75,2021-07-04 18:00:08
31,1625436008,14704.25,2021-07-04 18:00:08
32,1625436008,14705.0,2021-07-04 18:00:08
33,1625436009,14704.75,2021-07-04 18:00:09
34,1625436009,14705.5,2021-07-04 18:00:09
35,1625436009,14705.5,2021-07-04 18:00:09
36,1625436009,14705.5,2021-07-04 18:00:09
37,1625436009,14705.5,2021-07-04 18:00:09
38,1625436009,14705.5,2021-07-04 18:00:09
39,1625436009,14705.5,2021-07-04 18:00:09
40,1625436009,14705.5,2021-07-04 18:00:09
41,1625436009,14705.5,2021-07-04 18:00:09
42,1625436010,14705.5,2021-07-04 18:00:10
43,1625436010,14705.5,2021-07-04 18:00:10
44,1625436010,14705.5,2021-07-04 18:00:10
45,1625436011,14705.25,2021-07-04 18:00:11
46,1625436011,14705.5,2021-07-04 18:00:11
47,1625436011,14705.5,2021-07-04 18:00:11
48,1625436011,14705.5,2021-07-04 18:00:11
49,1625436011,14705.5,2021-07-04 18:00:11
50,1625436011,14705.25,2021-07-04 18:00:11
51,1625436011,14705.25,2021-07-04 18:00:11
52,1625436011,14705.5,2021-07-04 18:00:11
53,1625436012,14705.5,2021-07-04 18:00:12
54,1625436012,14705.5,2021-07-04 18:00:12
55,1625436012,14705.5,2021-07-04 18:00:12
56,1625436012,14705.5,2021-07-04 18:00:12
57,1625436012,14705.5,2021-07-04 18:00:12
58,1625436012,14705.5,2021-07-04 18:00:12
59,1625436012,14705.5,2021-07-04 18:00:12
60,1625436012,14705.5,2021-07-04 18:00:12
61,1625436012,14705.5,2021-07-04 18:00:12
62,1625436013,14705.5,2021-07-04 18:00:13
63,1625436013,14706.25,2021-07-04 18:00:13
64,1625436014,14705.75,2021-07-04 18:00:14
65,1625436014,14706.75,2021-07-04 18:00:14
66,1625436014,14707.0,2021-07-04 18:00:14
67,1625436014,14707.5,2021-07-04 18:00:14
68,1625436015,14707.5,2021-07-04 18:00:15
69,1625436015,14707.25,2021-07-04 18:00:15
70,1625436015,14708.0,2021-07-04 18:00:15
71,1625436015,14707.5,2021-07-04 18:00:15
72,1625436015,14707.5,2021-07-04 18:00:15
73,1625436015,14707.5,2021-07-04 18:00:15
74,1625436016,14708.0,2021-07-04 18:00:16
75,1625436016,14708.0,2021-07-04 18:00:16
76,1625436016,14708.0,2021-07-04 18:00:16
77,1625436017,14708.0,2021-07-04 18:00:17
78,1625436017,14708.25,2021-07-04 18:00:17
79,1625436017,14708.25,2021-07-04 18:00:17
80,1625436017,14708.5,2021-07-04 18:00:17
81,1625436017,14708.75,2021-07-04 18:00:17
82,1625436019,14708.5,2021-07-04 18:00:19
83,1625436020,14709.0,2021-07-04 18:00:20
84,1625436020,14709.0,2021-07-04 18:00:20
85,1625436020,14709.0,2021-07-04 18:00:20
86,1625436021,14708.5,2021-07-04 18:00:21
87,1625436021,14708.5,2021-07-04 18:00:21
88,1625436021,14708.25,2021-07-04 18:00:21
89,1625436022,14708.0,2021-07-04 18:00:22
90,1625436022,14708.0,2021-07-04 18:00:22
91,1625436022,14707.75,2021-07-04 18:00:22
92,1625436022,14707.75,2021-07-04 18:00:22
93,1625436024,14708.0,2021-07-04 18:00:24
94,1625436025,14708.0,2021-07-04 18:00:25
95,1625436025,14707.75,2021-07-04 18:00:25
96,1625436025,14707.75,2021-07-04 18:00:25
97,1625436025,14707.5,2021-07-04 18:00:25
98,1625436026,14707.75,2021-07-04 18:00:26
99,1625436026,14707.5,2021-07-04 18:00:26
100,1625436028,14707.25,2021-07-04 18:00:28
101,1625436028,14707.25,2021-07-04 18:00:28
102,1625436028,14707.0,2021-07-04 18:00:28
103,1625436028,14707.75,2021-07-04 18:00:28
104,1625436031,14706.5,2021-07-04 18:00:31
105,1625436032,14706.25,2021-07-04 18:00:32
106,1625436034,14706.5,2021-07-04 18:00:34
107,1625436035,14707.25,2021-07-04 18:00:35
108,1625436038,14707.25,2021-07-04 18:00:38
109,1625436038,14706.75,2021-07-04 18:00:38
110,1625436038,14706.5,2021-07-04 18:00:38
111,1625436038,14706.25,2021-07-04 18:00:38
112,1625436038,14706.0,2021-07-04 18:00:38
113,1625436038,14705.75,2021-07-04 18:00:38
114,1625436039,14707.25,2021-07-04 18:00:39
115,1625436039,14706.0,2021-07-04 18:00:39
116,1625436041,14706.0,2021-07-04 18:00:41
117,1625436042,14706.25,2021-07-04 18:00:42
118,1625436042,14707.0,2021-07-04 18:00:42
119,1625436042,14707.25,2021-07-04 18:00:42
120,1625436042,14707.5,2021-07-04 18:00:42
121,1625436042,14707.75,2021-07-04 18:00:42
122,1625436042,14708.25,2021-07-04 18:00:42
123,1625436042,14708.0,2021-07-04 18:00:42
124,1625436047,14708.0,2021-07-04 18:00:47
125,1625436047,14708.0,2021-07-04 18:00:47
